#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         ISEE
#     SOURCE_NAME                     ISEE2>International Sun-Earth Explorer 2
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Magnetospheric Science
#     DATA_TYPE                       4sec>4sec magnetic field
#     DESCRIPTOR                      MFI>3-axis fluxgate magnetometer averages
#     FILE_NAMING_CONVENTION          source_datatype_descriptor
#     DATA_VERSION                    2
#     PI_NAME                         C. T. Russell
#     PI_AFFILIATION                  UCLA
#     TEXT                            C. T. Russell (IEEE Trans. Geoscience Electronics, GE-16, 239-242, 1978). This                         
#                                      publication is available online at http://www-ssc.igpp.ucla.edu/personnel/russell/papers/ISEE_fluxgate
#     INSTRUMENT_TYPE                 Magnetic Fields (space)
#     MISSION_GROUP                   ISEE
#     LOGICAL_SOURCE                  isee2_4sec_mfi
#     LOGICAL_FILE_ID                 isee2_4sec_mfi_00000000_v02
#     LOGICAL_SOURCE_DESCRIPTION      12-sec avg vector magnetic field at 4-sec intervals
#     TIME_RESOLUTION                 12-sec avg at 4-sec intervals
#     NSSDC_ID                        SPMS-00669
#     OLD_NSSDC_ID                    77-102A-04Z
#     GENERATED_BY                    Tim Eastman
#     GENERATION_DATE                 February 2011
#     ACKNOWLEDGEMENT                 Dr. C. T. Russell
#     LINK_TEXT                       Data at 60-s and 4-s resolution also available through IGPP
#                                     at UCLA for entire ISEE mission
#                                     (Oct. 22, 1977 through Sept. 25, 1987).
#     LINK_TITLE                      ISEE Magnetometer Interactive Data Server
#     HTTP_LINK                       http://www-ssc.igpp.ucla.edu/forms/isee/
#     SPASE_DATASETRESOURCEID         spase://VSPO/NumericalData/ISEE2/MAG/PT4S
#     CDAWEB_PARENTS                  isee2_4sec_mfi_00000000_v01
#                                     isee2_4sec_mfi_19780812_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Default time
#  2. Magnetic Field X Comp. - Spacecraft axes (near GSE): 12-sec avg at 4-sec intervals
#  3. Magnetic Field Y Comp. - Spacecraft axes (near GSE): 12-sec avg at 4-sec intervals
#  4. Magnetic Field Z Comp. - Spacecraft axes (near GSE): 12-sec avg at 4-sec intervals
#  5. Total Magnetic Field: 12-sec avg at 4-sec intervals
#
EPOCH                         BX_(SC)       BY_(SC)       BZ_(SC)     BTOT_(SC)
dd-mm-yyyy hh:mm:ss.ms             nT            nT            nT            nT
12-08-1978 00:00:02.339      -1.87660       3.83920       6.45900       7.74500
12-08-1978 00:00:06.339      -1.81730       3.90070       6.48400       7.78240
12-08-1978 00:00:10.339      -2.16860       3.56140       6.60600       7.81210
12-08-1978 00:00:14.339      -2.43470       3.41860       6.55700       7.78490
12-08-1978 00:00:18.339      -2.60080       3.38480       6.47500       7.75510
12-08-1978 00:00:22.339      -2.43820       3.23260       6.56700       7.71450
12-08-1978 00:00:26.340      -2.26170       3.03690       6.71500       7.70920
12-08-1978 00:00:30.340      -2.07510       2.71470       6.92400       7.72160
12-08-1978 00:00:34.340      -2.11650       2.61610       6.98100       7.74960
12-08-1978 00:00:38.340      -2.22580       2.51540       6.99500       7.75970
12-08-1978 00:00:42.340      -2.47240       2.63400       6.85700       7.75070
12-08-1978 00:00:46.340      -2.76270       2.63350       6.71000       7.71960
12-08-1978 00:00:50.340      -3.09320       2.73030       6.50000       7.69870
12-08-1978 00:00:54.340      -3.18370       2.86600       6.36900       7.67580
12-08-1978 00:00:58.340      -2.92570       2.91770       6.45800       7.66710
12-08-1978 00:01:02.340      -2.60840       3.08350       6.54800       7.69330
12-08-1978 00:01:06.340      -2.74860       3.00740       6.55200       7.71560
12-08-1978 00:01:10.340      -3.05840       2.98580       6.43200       7.72290
12-08-1978 00:01:14.340      -3.48760       2.66210       6.36900       7.73360
12-08-1978 00:01:18.340      -3.43050       2.31920       6.51100       7.71590
12-08-1978 00:01:22.340      -3.35410       2.20590       6.59900       7.72370
12-08-1978 00:01:26.340      -3.11880       2.29320       6.67000       7.71190
12-08-1978 00:01:30.341      -2.92490       2.24330       6.78500       7.72150
12-08-1978 00:01:34.341      -2.79860       2.14970       6.85100       7.70640
12-08-1978 00:01:38.341      -2.66680       2.07800       6.92000       7.70180
12-08-1978 00:01:42.341      -2.63820       2.35820       6.82600       7.68830
12-08-1978 00:01:46.341      -2.77540       2.70550       6.63300       7.68270
12-08-1978 00:01:50.341      -2.94750       3.08160       6.41400       7.70230
12-08-1978 00:01:54.341      -3.07400       3.35260       6.21100       7.69860
12-08-1978 00:01:58.341      -3.10660       3.03460       6.34700       7.69080
12-08-1978 00:02:02.342      -2.91840       2.13910       6.71100       7.62460
12-08-1978 00:02:06.342      -2.75820       1.75170       7.00700       7.73110
12-08-1978 00:02:10.342      -2.56010       1.34820       7.18400       7.74460
